Label,Text,Jenis
Negative,"macam-macam efek pasca vaksin Pfizer: Leher kaku dan tak bisa digerakkan, Sulit bernafas, Rasa sakit yg menjalar di bahu dan tulang belakang, Mual, nafas terengah-engah saat tidur atau baring. Dua hari dirawat di rumah sakit belum begitu membaik. 
Ini bukan mau menakuti ya tapi fakta.",Pfizer
Negative,mantap bener ini efek pfizer.,Pfizer
Positive,mari kita lihat apakah ada efek samping dari booster pfizer ini,Pfizer
Positive,mari kita lihat seberapa keras efek booster pfizer,Pfizer
Positive,Masih aja bahas vaksin saya sudah suntik ya vaksin pfizer tidak ada efek samping apa pun kalian itu membuat gaduh dari jaman nya pak presiden terdahulu sampai sekarang masih aja hukum bagi yg masih membicarakan vaksin gara gara babe aldo,Pfizer
Negative,Miokarditis mungkin ? Yg disebabkan dari efek samping vaksin Moderna & Pfizer,Pfizer
Negative,Ngeliat artikel sih katanya efek yg tdk umum bagi yg pake #vaksin #pfizer akan ada pembengkakan di kelenjar getah bening,Pfizer
Negative,nikmatnya efek booster pfizer,Pfizer
Negative,nyeri lengan area yg disuntik vaksin masih berasa bgt ya alumni sinovac vaksin 1 2 macem gue lumayan kaget efek pfizer begini:),Pfizer
Negative,"Okee kita bahas apa yg kerasa di hari ke 2 dan ke 3, efek #vaksin #pfizer dosis ke 2, buat urg sih tangan kiri makin sakit buat d gerakin kerasa ky ada ketarik gt d ketiak, insomnia parah, kmrn hari senin bangun jam 9 pagi dan skrng selasa jam 8 pagi sama sekali belum tidur",Pfizer
Positive,"omong -omong ini aku sma keluargaku pke pfizer, kalo az kurang tau gmn efek sampingnya",Pfizer
Negative,"packing sambil meringis karena lengan gue sakit banget, apa efek pfizer begini",Pfizer
Negative,"padahal booster nya cuman setengah dosis pfizer, tp efek sampingnya bakal terasa 2x24 jam. kaya lagi flu rasanya, ga cuman pegel pegel, tp ada pusing dan lemes tanpa demam  hebat bgt yaa yg dosis 1-2 nya bukan sinovac :""",Pfizer
Negative,pas sinovac: ga ada efek apa- apa pas booster pfizer: demam bikin lemes,Pfizer
Positive,"pelayanan vaksinasi ""booster"" di @unika atmajaya ramah, cepat, rapi. sampai malam ini, saya tidak merasakan efek samping pasca - suntikan vaksin #pfizer siang tadi. salam sehat untuk semuanya.",Pfizer
Positive,Pernah vaksin pfizer gak? Efek samping nya apa? Aku tadi vaksin pke pfizer soalnya:3,Pfizer
Negative,perrusak akhir pekan ku :(,Pfizer
Positive,"pfizer bener ga ada efek samping kah kak?? mamak ku hr ini vaksin booster tp di kota lain, jd aku ga bisa ikut buat liatin dia  ga tau vaksin apa tp kyk nya pfizer. mudah2an pulang dgn selamat dan ga ad efek samping",Pfizer
Negative,Pfizer efek nya mantap sekali,Pfizer
Negative,pfizer efek puyengnya lama yaa. perrasaan 2x sinovac ga berasa apa - apa.,Pfizer
Negative,"pfizer emang gini ya? Aku mual, mering, panas, menggigil jadi satu",Pfizer
Negative,pfizer emg efek di tangan berasa bgt bgtt. apalagi malem nya. kaya bangun dr rebahan aja sakit,Pfizer
Positive,"pfizer gak ada efek sampingnya, gak seru",Pfizer
Negative,"pfizer jahat bgt hari pas suntik gak kenapa2 ngantuk doang, efek meriang, linu2 baru hari ini....",Pfizer
Positive,"rabu 9/2/2022 siang, aku mendapatkan vaksin booster dengan #pfizer di kampus @unika atmajaya terima kasih untuk pelayanan yang cepat dan ramah, terorganisir dengan rapi. salam sehat. sejauh ini aku belum merasakan efek samping vaksin booster.",Pfizer
Negative,rasa nya kayak mau simulasi meninggal,Pfizer
Positive,"saya pakai pfizer gk ada efek apa apa, cm sedikit njarem ditangan bekas suntikan.",Pfizer
